Version,Threads,Avg Runtime (s),CPU% avg,CPU% max,Proc CPU% avg,Proc CPU% max,RAM% avg,RAM% max,RSS peak (bytes),CPU time user (s),CPU time system (s),CPU time total (s),Avg parallelism (x),Monitor samples,Monitor interval (s)
version3_0,1,15.365609359999961,21.4934554973822,89.1,98.08979057591624,108.9,32.95732984293194,34.1,1357467648,97.375,4.125,75.546875,0.9832707886939107,382,0.2
version3_0,1,15.99986285999994,19.954522613065325,78.3,98.3145728643216,109.1,33.91130653266332,34.2,1356546048,105.234375,3.671875,78.84375,0.984823757077102,398,0.2
version3_0,1,13.620337699999618,23.046902654867257,82.7,97.79587020648968,109.1,51.889380530973455,52.9,1356509184,84.890625,2.578125,66.78125,0.979867610185319,339,0.2
version4_0_im2col,1,20.699387359999854,22.201052631578946,99.1,98.28231578947369,109.0,56.21557894736842,57.1,1783255040,131.828125,3.3125,101.96875,0.9839136844100348,475,0.2
version4_0_im2col_lib_baseline,1,1.8863255000000207,20.266666666666666,28.2,81.48333333333333,99.7,51.333333333333336,53.5,1326436352,17.0625,3.40625,9.203125,0.9617003818900677,6,0.2
version4_0_winograd,1,2.464365039999939,21.753225806451614,46.2,97.51612903225806,109.1,49.54354838709678,49.7,654225408,27.296875,1.109375,12.21875,0.9797751397712121,62,0.2
